,Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
1,DEN,DEN @ TOR,08/14/2020,L,240,109,36,87,41.4,16,38,42.1,21,23,91.3,9,32,41,27,9,11,16,15,-8
2,TOR,TOR vs. DEN,08/14/2020,W,240,117,45,90,50.0,18,35,51.4,9,14,64.3,13,38,51,27,8,5,19,24,8
3,MIA,MIA @ IND,08/14/2020,L,240,92,31,87,35.6,10,38,26.3,20,27,74.1,14,34,48,14,6,5,19,15,-17
4,IND,IND vs. MIA,08/14/2020,W,240,109,43,89,48.3,15,38,39.5,8,11,72.7,12,39,51,32,11,3,20,27,17
5,HOU,HOU vs. PHI,08/14/2020,L,240,96,35,80,43.8,12,48,25.0,14,16,87.5,1,26,27,25,10,9,17,18,-38
6,PHI,PHI @ HOU,08/14/2020,W,240,134,49,87,56.3,18,38,47.4,18,22,81.8,8,43,51,31,8,4,16,19,38
7,LAC,LAC vs. OKC,08/14/2020,W,265,107,34,85,40.0,12,37,32.4,27,39,69.2,12,49,61,23,10,2,23,22,4
8,OKC,OKC @ LAC,08/14/2020,L,265,103,38,106,35.8,14,44,31.8,13,22,59.1,11,37,48,18,5,6,16,29,-4
9,MIL,MIL @ MEM,08/13/2020,L,240,106,39,98,39.8,13,41,31.7,15,23,65.2,9,36,45,27,8,3,15,22,-13
10,MEM,MEM vs. MIL,08/13/2020,W,240,119,45,90,50.0,13,33,39.4,16,23,69.6,9,46,55,36,4,3,18,18,13
11,SAS,SAS @ UTA,08/13/2020,L,240,112,39,79,49.4,10,20,50.0,24,36,66.7,9,35,44,24,4,8,15,20,-6
12,UTA,UTA vs. SAS,08/13/2020,W,240,118,47,101,46.5,15,46,32.6,9,10,90.0,12,31,43,25,7,5,9,23,6
13,NOP,NOP @ ORL,08/13/2020,L,240,127,48,87,55.2,10,34,29.4,21,27,77.8,9,31,40,22,6,4,13,22,-6
14,ORL,ORL vs. NOP,08/13/2020,W,240,133,48,84,57.1,15,28,53.6,22,30,73.3,6,27,33,25,6,2,12,22,6
15,WAS,WAS @ BOS,08/13/2020,W,240,96,34,88,38.6,10,26,38.5,18,24,75.0,18,38,56,22,11,6,18,19,6
16,BOS,BOS vs. WAS,08/13/2020,L,240,90,35,88,39.8,8,35,22.9,12,14,85.7,13,38,51,22,8,7,19,19,-6
17,POR,POR @ BKN,08/13/2020,W,240,134,50,104,48.1,13,39,33.3,21,24,87.5,14,28,42,25,10,4,9,21,1
18,BKN,BKN vs. POR,08/13/2020,L,240,133,53,96,55.2,14,33,42.4,13,19,68.4,12,34,46,28,5,5,14,23,-1
19,DAL,DAL @ PHX,08/13/2020,L,240,102,39,89,43.8,8,26,30.8,16,19,84.2,11,32,43,17,3,4,11,18,-26
20,PHX,PHX vs. DAL,08/13/2020,W,240,128,49,89,55.1,14,34,41.2,16,21,76.2,7,38,45,34,6,4,6,14,26
21,SAC,SAC @ LAL,08/13/2020,W,240,136,54,95,56.8,21,47,44.7,7,12,58.3,9,35,44,37,12,2,15,15,14
22,LAL,LAL vs. SAC,08/13/2020,L,240,122,48,98,49.0,15,35,42.9,11,15,73.3,15,32,47,29,6,1,17,18,-14
23,OKC,OKC vs. MIA,08/12/2020,W,240,116,39,89,43.8,16,42,38.1,22,27,81.5,14,36,50,20,7,4,16,19,1
24,MIA,MIA @ OKC,08/12/2020,L,240,115,42,86,48.8,14,42,33.3,17,20,85.0,6,34,40,24,14,2,12,23,-1
25,LAC,LAC @ DEN,08/12/2020,W,240,124,46,85,54.1,14,37,37.8,18,23,78.3,6,34,40,29,11,1,8,25,13
26,DEN,DEN vs. LAC,08/12/2020,L,240,111,43,87,49.4,13,35,37.1,12,19,63.2,9,33,42,33,4,3,12,19,-13
27,HOU,HOU vs. IND,08/12/2020,L,240,104,32,86,37.2,16,57,28.1,24,28,85.7,6,43,49,20,8,6,20,20,-4
28,IND,IND @ HOU,08/12/2020,W,240,108,40,100,40.0,11,31,35.5,17,22,77.3,12,42,54,25,15,7,15,25,4
29,PHI,PHI vs. TOR,08/12/2020,L,240,121,39,84,46.4,17,40,42.5,26,33,78.8,9,38,47,27,9,10,17,29,-4
30,TOR,TOR @ PHI,08/12/2020,W,240,125,40,90,44.4,18,43,41.9,27,40,67.5,11,36,47,28,8,7,12,23,4
31,BOS,BOS @ MEM,08/11/2020,W,240,122,44,86,51.2,16,37,43.2,18,23,78.3,10,36,46,29,7,7,15,27,15
32,MEM,MEM vs. BOS,08/11/2020,L,240,107,35,89,39.3,7,29,24.1,30,38,78.9,14,30,44,26,8,4,8,15,-15
33,MIL,MIL @ WAS,08/11/2020,W,240,126,44,87,50.6,18,38,47.4,20,28,71.4,9,44,53,25,6,0,15,26,13
34,WAS,WAS vs. MIL,08/11/2020,L,240,113,39,95,41.1,12,35,34.3,23,30,76.7,11,33,44,22,2,3,11,23,-13
35,SAC,SAC vs. NOP,08/11/2020,W,240,112,43,88,48.9,11,26,42.3,15,16,93.8,14,31,45,27,4,6,21,22,6
36,NOP,NOP @ SAC,08/11/2020,L,240,106,42,82,51.2,7,24,29.2,15,19,78.9,5,29,34,25,8,6,19,18,-6
37,DAL,DAL vs. POR,08/11/2020,L,240,131,42,81,51.9,20,44,45.5,27,33,81.8,5,32,37,28,4,5,17,23,-3
38,POR,POR @ DAL,08/11/2020,W,240,134,46,98,46.9,15,38,39.5,27,29,93.1,12,36,48,18,9,3,8,31,3
39,BKN,BKN @ ORL,08/11/2020,W,240,108,38,89,42.7,13,43,30.2,19,24,79.2,8,39,47,26,9,4,15,20,12
40,ORL,ORL vs. BKN,08/11/2020,L,240,96,32,83,38.6,7,23,30.4,25,29,86.2,12,37,49,13,9,3,17,24,-12
41,HOU,HOU @ SAS,08/11/2020,L,240,105,36,89,40.4,14,48,29.2,19,21,90.5,4,33,37,18,14,3,18,19,-18
42,SAS,SAS vs. HOU,08/11/2020,W,240,123,46,93,49.5,13,32,40.6,18,20,90.0,9,50,59,28,10,5,22,20,18
43,PHX,PHX @ PHI,08/11/2020,W,240,130,49,89,55.1,12,28,42.9,20,21,95.2,11,33,44,28,4,3,7,18,13
44,PHI,PHI vs. PHX,08/11/2020,L,240,117,46,93,49.5,15,33,45.5,10,14,71.4,11,23,34,28,5,4,9,20,-13
45,TOR,TOR @ MIL,08/10/2020,W,240,114,42,97,43.3,12,40,30.0,18,26,69.2,16,39,55,24,11,6,14,27,8
46,MIL,MIL vs. TOR,08/10/2020,L,240,106,33,84,39.3,14,43,32.6,26,35,74.3,11,38,49,25,4,6,19,21,-8
47,DAL,DAL @ UTA,08/10/2020,W,240,122,48,85,56.5,12,24,50.0,14,16,87.5,4,30,34,29,6,3,8,23,8
48,UTA,UTA vs. DAL,08/10/2020,L,240,114,39,82,47.6,21,46,45.7,15,20,75.0,11,27,38,28,5,6,12,19,-8
49,IND,IND @ MIA,08/10/2020,L,240,92,33,84,39.3,10,35,28.6,16,25,64.0,6,39,45,20,5,4,17,19,-22
50,MIA,MIA vs. IND,08/10/2020,W,240,114,44,98,44.9,13,40,32.5,13,19,68.4,13,46,59,29,11,9,14,20,22
51,PHX,PHX vs. OKC,08/10/2020,W,240,128,42,89,47.2,17,34,50.0,27,29,93.1,12,41,53,29,11,7,20,23,27
52,OKC,OKC @ PHX,08/10/2020,L,240,101,35,90,38.9,13,39,33.3,18,21,85.7,8,32,40,24,10,2,19,23,-27
53,DEN,DEN @ LAL,08/10/2020,L,240,121,45,77,58.4,13,23,56.5,18,23,78.3,10,25,35,27,6,2,14,20,-3
54,LAL,LAL vs. DEN,08/10/2020,W,240,124,44,81,54.3,14,29,48.3,22,32,68.8,14,18,32,28,8,4,10,18,3
55,OKC,OKC vs. WAS,08/09/2020,W,240,121,43,84,51.2,18,39,46.2,17,22,77.3,8,35,43,25,7,3,12,18,18
56,WAS,WAS @ OKC,08/09/2020,L,240,103,38,92,41.3,9,36,25.0,18,22,81.8,13,31,44,23,6,3,16,18,-18
57,TOR,TOR vs. MEM,08/09/2020,W,240,108,34,71,47.9,15,39,38.5,25,33,75.8,5,35,40,25,17,7,26,23,9
58,MEM,MEM @ TOR,08/09/2020,L,240,99,37,91,40.7,14,42,33.3,11,16,68.8,10,32,42,24,14,3,22,27,-9
59,SAC,SAC vs. HOU,08/09/2020,L,240,112,41,87,47.1,10,37,27.0,20,23,87.0,5,36,41,29,9,2,18,22,-17
60,HOU,HOU @ SAC,08/09/2020,W,240,129,43,91,47.3,18,57,31.6,25,30,83.3,8,40,48,21,9,3,15,18,17
61,PHI,PHI @ POR,08/09/2020,L,240,121,47,97,48.5,14,30,46.7,13,17,76.5,14,34,48,24,6,3,15,23,-3
62,POR,POR vs. PHI,08/09/2020,W,240,124,43,91,47.3,11,35,31.4,27,29,93.1,7,34,41,19,8,6,10,16,3
63,BOS,BOS vs. ORL,08/09/2020,W,265,122,45,102,44.1,12,40,30.0,20,24,83.3,13,41,54,32,9,7,13,19,3
64,ORL,ORL @ BOS,08/09/2020,L,265,119,41,102,40.2,15,47,31.9,22,26,84.6,12,40,52,24,7,4,14,25,-3
65,BKN,BKN @ LAC,08/09/2020,W,240,129,47,85,55.3,20,43,46.5,15,19,78.9,8,38,46,32,5,5,16,25,9
66,LAC,LAC vs. BKN,08/09/2020,L,240,120,45,93,48.4,13,36,36.1,17,20,85.0,10,29,39,23,8,2,10,19,-9
67,SAS,SAS @ NOP,08/09/2020,W,240,122,40,89,44.9,11,28,39.3,31,32,96.9,15,36,51,22,12,6,17,27,9
68,NOP,NOP vs. SAS,08/09/2020,L,240,113,42,96,43.8,12,30,40.0,17,22,77.3,16,32,48,30,5,5,20,26,-9
69,DEN,DEN vs. UTA,08/08/2020,W,290,134,51,108,47.2,9,37,24.3,23,30,76.7,12,40,52,29,10,5,11,24,2
70,UTA,UTA @ DEN,08/08/2020,L,290,132,47,105,44.8,22,55,40.0,16,22,72.7,15,36,51,34,6,4,23,30,-2
71,DAL,DAL vs. MIL,08/08/2020,W,265,136,48,115,41.7,17,53,32.1,23,25,92.0,11,43,54,37,6,2,7,26,4
72,MIL,MIL @ DAL,08/08/2020,L,265,132,47,99,47.5,15,44,34.1,23,34,67.6,9,46,55,26,3,9,13,26,-4
73,IND,IND vs. LAL,08/08/2020,W,240,116,44,84,52.4,15,33,45.5,13,14,92.9,7,35,42,25,12,4,20,21,5
74,LAL,LAL @ IND,08/08/2020,L,240,111,42,100,42.0,13,39,33.3,14,19,73.7,15,29,44,20,13,6,15,16,-5
75,LAC,LAC @ POR,08/08/2020,W,240,122,42,85,49.4,15,34,44.1,23,28,82.1,9,36,45,24,5,2,14,22,5
76,POR,POR vs. LAC,08/08/2020,L,240,117,44,90,48.9,17,43,39.5,12,17,70.6,9,32,41,24,5,2,11,26,-5
77,MIA,MIA vs. PHX,08/08/2020,L,240,112,41,84,48.8,11,36,30.6,19,22,86.4,3,34,37,28,6,9,12,21,-7
78,PHX,PHX @ MIA,08/08/2020,W,240,119,44,92,47.8,12,32,37.5,19,20,95.0,12,40,52,27,5,4,11,21,7
79,WAS,WAS @ NOP,08/07/2020,L,240,107,38,90,42.2,10,27,37.0,21,23,91.3,10,30,40,22,9,4,16,27,-11
80,NOP,NOP vs. WAS,08/07/2020,W,240,118,42,88,47.7,12,35,34.3,22,26,84.6,11,34,45,25,7,8,20,19,11
81,OKC,OKC @ MEM,08/07/2020,L,240,92,34,97,35.1,13,43,30.2,11,15,73.3,12,24,36,19,12,2,10,20,-29
82,MEM,MEM vs. OKC,08/07/2020,W,240,121,46,83,55.4,11,31,35.5,18,20,90.0,12,46,58,24,6,4,20,19,29
83,TOR,TOR vs. BOS,08/07/2020,L,240,100,38,89,42.7,10,38,26.3,14,17,82.4,9,39,48,20,8,7,18,18,-22
84,BOS,BOS @ TOR,08/07/2020,W,240,122,47,96,49.0,16,46,34.8,12,16,75.0,9,43,52,27,8,2,15,22,22
85,SAC,SAC @ BKN,08/07/2020,L,240,106,38,89,42.7,12,40,30.0,18,24,75.0,13,37,50,19,3,4,15,26,-13
86,BKN,BKN vs. SAC,08/07/2020,W,240,119,42,86,48.8,17,40,42.5,18,28,64.3,7,37,44,30,9,3,11,23,13
87,UTA,UTA @ SAS,08/07/2020,L,240,111,38,91,41.8,16,37,43.2,19,24,79.2,10,39,49,25,8,4,16,19,-8
88,SAS,SAS vs. UTA,08/07/2020,W,240,119,45,89,50.6,9,22,40.9,20,26,76.9,8,39,47,27,10,5,13,18,8
89,PHI,PHI vs. ORL,08/07/2020,W,240,108,38,93,40.9,8,29,27.6,24,33,72.7,15,36,51,19,4,4,9,20,7
90,ORL,ORL @ PHI,08/07/2020,L,240,101,37,88,42.0,8,32,25.0,19,25,76.0,10,37,47,17,5,2,11,24,-7
91,POR,POR @ DEN,08/06/2020,W,240,125,43,92,46.7,23,39,59.0,16,20,80.0,13,26,39,30,7,6,9,18,10
92,DEN,DEN vs. POR,08/06/2020,L,240,115,44,84,52.4,14,28,50.0,13,17,76.5,11,33,44,30,5,4,16,22,-10
93,NOP,NOP @ SAC,08/06/2020,L,240,125,47,82,57.3,14,34,41.2,17,23,73.9,5,25,30,31,4,3,17,26,-15
94,SAC,SAC vs. NOP,08/06/2020,W,240,140,50,93,53.8,16,33,48.5,24,33,72.7,13,26,39,26,11,3,8,20,15
95,DAL,DAL vs. LAC,08/06/2020,L,240,111,39,87,44.8,17,48,35.4,16,21,76.2,8,29,37,24,3,4,8,17,-15
96,LAC,LAC @ DAL,08/06/2020,W,240,126,50,92,54.3,14,31,45.2,12,15,80.0,9,36,45,22,3,3,8,21,15
97,MIL,MIL vs. MIA,08/06/2020,W,240,130,41,78,52.6,15,37,40.5,33,38,86.8,5,39,44,27,7,3,14,21,14
98,MIA,MIA @ MIL,08/06/2020,L,240,116,35,83,42.2,21,46,45.7,25,27,92.6,6,33,39,28,6,1,19,28,-14
99,LAL,LAL @ HOU,08/06/2020,L,240,97,35,77,45.5,2,19,10.5,25,36,69.4,12,36,48,18,11,6,25,20,-16
100,HOU,HOU vs. LAL,08/06/2020,W,240,113,36,84,42.9,21,57,36.8,20,23,87.0,4,30,34,26,11,5,20,28,16
101,IND,IND @ PHX,08/06/2020,L,240,99,37,85,43.5,10,29,34.5,15,19,78.9,5,33,38,20,6,5,15,22,-15
102,PHX,PHX vs. IND,08/06/2020,W,240,114,43,92,46.7,9,34,26.5,19,20,95.0,12,41,53,27,6,4,16,20,15
103,WAS,WAS vs. PHI,08/05/2020,L,240,98,36,85,42.4,7,21,33.3,19,24,79.2,9,39,48,17,8,5,15,26,-9
104,PHI,PHI @ WAS,08/05/2020,W,240,107,38,82,46.3,11,29,37.9,20,29,69.0,6,35,41,27,11,4,14,21,9
105,MEM,MEM @ UTA,08/05/2020,L,240,115,43,91,47.3,11,29,37.9,18,25,72.0,9,32,41,21,7,3,14,28,-9
106,UTA,UTA vs. MEM,08/05/2020,W,240,124,38,84,45.2,18,45,40.0,30,33,90.9,11,35,46,25,5,4,18,23,9
107,ORL,ORL vs. TOR,08/05/2020,L,240,99,35,87,40.2,11,41,26.8,18,26,69.2,8,35,43,26,8,4,13,26,-10
108,TOR,TOR @ ORL,08/05/2020,W,240,109,38,78,48.7,12,33,36.4,21,30,70.0,3,41,44,25,6,2,15,21,10
109,BOS,BOS vs. BKN,08/05/2020,W,240,149,50,88,56.8,20,39,51.3,29,35,82.9,6,37,43,29,10,10,14,23,34
110,BKN,BKN @ BOS,08/05/2020,L,240,115,45,95,47.4,8,32,25.0,17,21,81.0,7,27,34,23,9,2,18,22,-34
111,OKC,OKC @ LAL,08/05/2020,W,240,105,34,79,43.0,5,24,20.8,32,36,88.9,4,48,52,17,9,2,14,23,19
112,LAL,LAL vs. OKC,08/05/2020,L,240,86,31,88,35.2,5,37,13.5,19,29,65.5,10,36,46,17,7,3,11,24,-19
113,SAS,SAS vs. DEN,08/05/2020,L,240,126,46,93,49.5,11,30,36.7,23,27,85.2,10,25,35,29,10,5,9,20,-6
114,DEN,DEN @ SAS,08/05/2020,W,240,132,50,91,54.9,14,36,38.9,18,21,85.7,14,32,46,31,6,5,14,21,6
115,DAL,DAL @ SAC,08/04/2020,W,265,114,33,90,36.7,9,41,22.0,39,50,78.0,17,44,61,22,4,2,17,21,4
116,SAC,SAC vs. DAL,08/04/2020,L,265,110,43,104,41.3,16,43,37.2,8,12,66.7,8,39,47,26,8,3,11,37,-4
117,IND,IND vs. ORL,08/04/2020,W,240,120,46,84,54.8,13,33,39.4,15,19,78.9,2,30,32,29,10,3,7,17,11
118,ORL,ORL @ IND,08/04/2020,L,240,109,39,82,47.6,12,34,35.3,19,23,82.6,11,32,43,21,3,2,18,22,-11
119,BKN,BKN @ MIL,08/04/2020,W,240,119,43,103,41.7,21,57,36.8,12,16,75.0,7,35,42,30,5,6,7,26,3
120,MIL,MIL vs. BKN,08/04/2020,L,240,116,42,88,47.7,17,51,33.3,15,23,65.2,7,47,54,28,3,5,19,19,-3
121,HOU,HOU @ POR,08/04/2020,L,240,102,34,87,39.1,19,53,35.8,15,24,62.5,5,34,39,24,7,3,10,26,-8
122,POR,POR vs. HOU,08/04/2020,W,240,110,39,95,41.1,12,31,38.7,20,29,69.0,15,49,64,18,7,5,12,21,8
123,BOS,BOS @ MIA,08/04/2020,L,240,106,37,85,43.5,10,33,30.3,22,27,81.5,14,31,45,15,7,4,16,26,-6
124,MIA,MIA vs. BOS,08/04/2020,W,240,112,34,77,44.2,15,43,34.9,29,39,74.4,12,30,42,22,8,5,13,19,6
125,PHX,PHX @ LAC,08/04/2020,W,240,117,45,96,46.9,17,32,53.1,10,14,71.4,11,33,44,25,5,0,8,21,2
126,LAC,LAC vs. PHX,08/04/2020,L,240,115,42,85,49.4,8,29,27.6,23,27,85.2,8,40,48,21,2,3,10,16,-2
127,MEM,MEM @ NOP,08/03/2020,L,240,99,37,93,39.8,12,43,27.9,13,15,86.7,8,35,43,25,3,10,14,32,-10
128,NOP,NOP vs. MEM,08/03/2020,W,240,109,37,82,45.1,11,29,37.9,24,39,61.5,8,41,49,25,7,1,15,20,10
129,DEN,DEN @ OKC,08/03/2020,W,265,121,42,87,48.3,7,25,28.0,30,39,76.9,9,37,46,23,10,3,13,29,8
130,OKC,OKC vs. DEN,08/03/2020,L,265,113,37,87,42.5,15,36,41.7,24,31,77.4,8,34,42,20,4,5,16,32,-8
131,WAS,WAS vs. IND,08/03/2020,L,240,100,41,94,43.6,11,30,36.7,7,13,53.8,9,36,45,30,6,7,13,19,-11
132,IND,IND @ WAS,08/03/2020,W,240,111,44,92,47.8,7,26,26.9,16,16,100,9,36,45,20,6,11,10,15,11
133,UTA,UTA vs. LAL,08/03/2020,L,240,108,37,83,44.6,12,43,27.9,22,25,88.0,7,35,42,25,8,3,21,29,-8
134,LAL,LAL @ UTA,08/03/2020,W,240,116,41,82,50.0,9,26,34.6,25,31,80.6,4,34,38,23,12,3,14,24,8
135,PHI,PHI vs. SAS,08/03/2020,W,240,132,46,87,52.9,14,31,45.2,26,30,86.7,8,27,35,26,6,6,13,25,2
136,SAS,SAS @ PHI,08/03/2020,L,240,130,46,93,49.5,12,26,46.2,26,29,89.7,13,31,44,21,7,6,14,23,-2
137,MIA,MIA vs. TOR,08/03/2020,L,240,103,37,87,42.5,14,45,31.1,15,16,93.8,8,33,41,29,9,8,15,24,-4
138,TOR,TOR @ MIA,08/03/2020,W,240,107,29,67,43.3,16,32,50.0,33,36,91.7,3,36,39,19,6,3,21,19,4
139,MEM,MEM vs. SAS,08/02/2020,L,240,106,42,91,46.2,7,30,23.3,15,18,83.3,3,36,39,27,5,3,12,27,-2
140,SAS,SAS @ MEM,08/02/2020,W,240,108,36,86,41.9,12,29,41.4,24,33,72.7,12,37,49,22,5,6,17,20,2
141,MIL,MIL @ HOU,08/02/2020,L,240,116,45,92,48.9,9,35,25.7,17,23,73.9,17,48,65,21,6,6,23,23,-4
142,HOU,HOU vs. MIL,08/02/2020,W,240,120,36,91,39.6,21,61,34.4,27,31,87.1,6,30,36,22,15,3,9,24,4
143,SAC,SAC @ ORL,08/02/2020,L,240,116,45,91,49.5,8,28,28.6,18,22,81.8,9,30,39,30,10,0,15,28,-16
144,ORL,ORL vs. SAC,08/02/2020,W,240,132,43,82,52.4,18,38,47.4,28,35,80.0,12,34,46,31,10,4,18,25,16
145,BOS,BOS vs. POR,08/02/2020,W,240,128,42,77,54.5,18,30,60.0,26,34,76.5,6,30,36,24,9,6,14,21,4
146,POR,POR @ BOS,08/02/2020,L,240,124,45,90,50.0,19,42,45.2,15,16,93.8,9,26,35,31,8,5,12,25,-4
147,BKN,BKN vs. WAS,08/02/2020,W,240,118,38,90,42.2,11,33,33.3,31,37,83.8,13,35,48,23,5,4,11,24,8
148,WAS,WAS @ BKN,08/02/2020,L,240,110,40,88,45.5,9,31,29.0,21,27,77.8,10,36,46,26,6,6,13,31,-8
149,PHX,PHX vs. DAL,08/02/2020,W,240,117,42,93,45.2,12,33,36.4,21,23,91.3,6,43,49,22,5,4,11,29,2
150,DAL,DAL @ PHX,08/02/2020,L,240,115,38,93,40.9,6,31,19.4,33,37,89.2,10,39,49,22,8,5,8,22,-2
151,UTA,UTA @ OKC,08/01/2020,L,240,94,34,87,39.1,8,31,25.8,18,22,81.8,12,23,35,17,11,4,16,21,-16
152,OKC,OKC vs. UTA,08/01/2020,W,240,110,41,77,53.2,10,26,38.5,18,24,75.0,11,36,47,19,9,8,22,21,16
153,LAL,LAL @ TOR,08/01/2020,L,240,92,29,82,35.4,10,40,25.0,24,33,72.7,8,32,40,17,8,12,18,25,-15
